Mean B,Mean G,Mean R,Area,Perimeter,Contrast,Label
113.6724853515625,137.6839599609375,130.5906982421875,7800.0,650.2152906656265,770.665523373984,Good
113.6724853515625,137.6839599609375,130.5906982421875,7800.0,650.2152906656265,770.665523373984,Good
79.30621337890625,115.91632080078125,108.69769287109375,3517.5,307.11983728408813,1248.801575203252,Good
79.30621337890625,115.91632080078125,108.69769287109375,3517.5,307.11983728408813,1248.801575203252,Good
108.2047119140625,139.7762451171875,132.898681640625,7529.5,817.536139011383,1231.4545223577238,Good
108.2047119140625,139.7762451171875,132.898681640625,7529.5,817.536139011383,1231.4545223577238,Good
96.52264404296875,133.5941162109375,125.6400146484375,5800.5,754.8498480319977,1228.7526041666667,Good
96.52264404296875,133.5941162109375,125.6400146484375,5800.5,754.8498480319977,1228.7526041666667,Good
102.42034912109375,126.9581298828125,118.19232177734375,5428.0,1134.1950812339783,1252.9549669715448,Good
102.42034912109375,126.9581298828125,118.19232177734375,5428.0,1134.1950812339783,1252.9549669715448,Good
108.82269287109375,128.01910400390625,119.078857421875,6056.0,782.7249557971954,832.3564532520326,Good
108.82269287109375,128.01910400390625,119.078857421875,6056.0,782.7249557971954,832.3564532520326,Good
101.089599609375,126.7213134765625,116.1961669921875,5626.5,914.732097029686,1419.2741361788617,Good
101.089599609375,126.7213134765625,116.1961669921875,5626.5,914.732097029686,1419.2741361788617,Good
102.315673828125,131.22564697265625,118.916748046875,6885.0,766.2396762371063,867.2008384146342,Good
102.315673828125,131.22564697265625,118.916748046875,6885.0,766.2396762371063,867.2008384146342,Good
105.61962890625,125.7843017578125,117.00555419921875,5235.0,785.4356336593628,1231.5884146341468,Good
105.61962890625,125.7843017578125,117.00555419921875,5235.0,785.4356336593628,1231.5884146341468,Good
101.44281005859375,112.90533447265625,104.52886962890625,1553.0,360.7594470977783,1031.2557164634147,Good
101.44281005859375,112.90533447265625,104.52886962890625,1553.0,360.7594470977783,1031.2557164634147,Good
106.1368408203125,125.29754638671875,116.82977294921875,4627.5,940.4722113609314,1762.5487169715448,Good
102.36395263671875,122.99658203125,114.15045166015625,5738.5,798.5067008733749,1276.6720020325204,Good
93.59185791015625,119.008056640625,109.859130859375,3061.0,682.6072065830231,1239.7226880081305,Good
99.5748291015625,115.610595703125,110.1075439453125,2519.0,591.8965300321579,1226.7094766260163,Good
98.745849609375,130.02996826171875,119.56536865234375,4985.0,966.2295709848404,1181.587525406504,Good
98.18603515625,132.0948486328125,121.639892578125,6588.0,600.2152909040451,1009.7098577235773,Good
92.450927734375,118.917724609375,111.3206787109375,3046.0,747.4945089817047,1128.3962779471549,Good
105.93341064453125,124.981689453125,118.0640869140625,4722.0,1067.7686746120453,1753.4879319105694,Good
100.168212890625,126.60009765625,114.02764892578125,5079.0,1079.2245191335678,1673.729357215447,Good
102.896728515625,132.90179443359375,117.985595703125,6972.0,848.2051857709885,1103.1366234756097,Good
106.66021728515625,136.66552734375,126.003662109375,6741.5,777.1929934024811,1660.2911585365855,Good
102.343505859375,134.70318603515625,123.73419189453125,7820.5,809.0508579015732,1152.7541285569102,Good
102.98687744140625,131.35650634765625,123.832763671875,4406.0,340.47517597675323,1779.2436483739843,Good
92.4283447265625,135.01104736328125,123.56207275390625,7026.5,904.5899614095688,1501.1826727642278,Good
102.9979248046875,123.44635009765625,115.46795654296875,4686.5,1379.859074831009,1411.5489710365855,Good
112.027099609375,139.36248779296875,132.6959228515625,6754.0,858.9503526687622,1073.5349974593496,Good
110.78424072265625,132.65771484375,125.489501953125,6026.5,740.1980451345444,1468.101117886179,Good
105.16363525390625,140.50335693359375,131.17742919921875,7842.0,734.9259676933289,1229.6810213414635,Good
126.60498046875,159.4622802734375,151.7552490234375,11906.0,1465.6164343357086,764.0174034552846,Good
128.3961181640625,164.34967041015625,156.31988525390625,13729.5,1396.7219922542572,765.1654598577236,Good
116.34228515625,148.59393310546875,139.75897216796875,9051.0,1260.3372166156769,1021.8474339430895,Good
123.34136962890625,139.2989501953125,135.42645263671875,7350.5,752.68332695961,846.8157393292684,Good
91.95556640625,125.05694580078125,118.576904296875,4985.0,1006.7981126308441,1284.1635543699188,Good
114.0123291015625,142.59368896484375,135.72821044921875,6860.0,798.7493416070938,1397.6706046747968,Good
115.63775634765625,141.86639404296875,133.9888916015625,7634.5,782.5411915779114,631.5588795731708,Good
117.810302734375,136.32867431640625,130.1893310546875,8005.0,1006.9747375249863,1181.2660060975609,Good
107.31256103515625,133.10357666015625,122.88671875,6785.0,1110.9158630371094,970.8406377032521,Good
117.982666015625,132.33819580078125,128.12005615234375,7278.0,1152.8813726902008,1184.2830284552845,Good
